timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap
2023-04-24T00:00:00.000Z,2023-04-24T23:59:59.999Z,2023-04-24T01:20:00.000Z,2023-04-24T17:32:00.000Z,1.67197134,1.680184078,1.614281595,1.629465221,245767.32,95549275.78
2023-04-23T00:00:00.000Z,2023-04-23T23:59:59.999Z,2023-04-23T00:07:00.000Z,2023-04-23T19:36:00.000Z,1.73043409,1.732300575,1.659072683,1.671708922,238298.85,98026379.93
2023-04-22T00:00:00.000Z,2023-04-22T23:59:59.999Z,2023-04-22T23:37:00.000Z,2023-04-22T02:51:00.000Z,1.641699546,1.730778169,1.626694341,1.730188421,364406.9,101455525.7
2023-04-21T00:00:00.000Z,2023-04-21T23:59:59.999Z,2023-04-21T13:33:00.000Z,2023-04-21T22:40:00.000Z,1.706258311,1.714991672,1.636837202,1.64138766,370394.92,96248388.84
2023-04-20T00:00:00.000Z,2023-04-20T23:59:59.999Z,2023-04-20T06:21:00.000Z,2023-04-20T19:30:00.000Z,1.735651273,1.747327515,1.694032352,1.706210026,466081.58,100049470.4
2023-04-19T00:00:00.000Z,2023-04-19T23:59:59.999Z,2023-04-19T00:19:00.000Z,2023-04-19T23:38:00.000Z,1.91296918,1.913425967,1.731107885,1.735807176,458717.62,101785000.6
2023-04-18T00:00:00.000Z,2023-04-18T23:59:59.999Z,2023-04-18T12:24:00.000Z,2023-04-18T18:53:00.000Z,1.933526078,1.989395364,1.879659632,1.913198983,540179.87,112186977
2023-04-17T00:00:00.000Z,2023-04-17T23:59:59.999Z,2023-04-17T00:01:00.000Z,2023-04-17T15:06:00.000Z,2.053310004,2.053318618,1.895842739,1.933841251,645709.95,113397407.1
2023-04-16T00:00:00.000Z,2023-04-16T23:59:59.999Z,2023-04-16T03:20:00.000Z,2023-04-16T00:04:00.000Z,2.014353547,2.161031863,2.01382955,2.054153287,980096.17,120452315.5
2023-04-15T00:00:00.000Z,2023-04-15T23:59:59.999Z,2023-04-15T07:03:00.000Z,2023-04-15T21:25:00.000Z,2.062368913,2.169301143,1.984930239,2.015151091,955137.75,118165288.2
2023-04-14T00:00:00.000Z,2023-04-14T23:59:59.999Z,2023-04-14T21:41:00.000Z,2023-04-14T13:43:00.000Z,1.794595756,2.208401791,1.756915556,2.061688644,2193789.84,120894177
2023-04-13T00:00:00.000Z,2023-04-13T23:59:59.999Z,2023-04-13T23:58:00.000Z,2023-04-13T00:20:00.000Z,1.581972267,1.794236223,1.579838708,1.793801963,676901.36,105185723.7
2023-04-12T00:00:00.000Z,2023-04-12T23:59:59.999Z,2023-04-13T05:55:00.000Z,2023-04-12T08:09:00.000Z,1.536393289,1.595691971,1.477309948,1.594841041,549491.63,93518968.39
2023-04-11T00:00:00.000Z,2023-04-11T23:59:59.999Z,2023-04-11T23:58:00.000Z,2023-04-11T17:04:00.000Z,1.451740232,1.535440174,1.430138569,1.532696917,549008.72,89874934.77
2023-04-10T00:00:00.000Z,2023-04-10T23:59:59.999Z,2023-04-10T23:45:00.000Z,2023-04-10T15:13:00.000Z,1.414186163,1.453356153,1.407143768,1.451051336,269062.56,85087366.39
2023-04-09T00:00:00.000Z,2023-04-09T23:59:59.999Z,2023-04-09T09:49:00.000Z,2023-04-09T17:46:00.000Z,1.406747334,1.429498181,1.393663896,1.411922217,196294.97,82792896.42
2023-04-08T00:00:00.000Z,2023-04-08T23:59:59.999Z,2023-04-08T06:39:00.000Z,2023-04-08T23:14:00.000Z,1.440517404,1.463220855,1.405427288,1.406767185,328749.46,82490613.45
2023-04-07T00:00:00.000Z,2023-04-07T23:59:59.999Z,2023-04-07T03:49:00.000Z,2023-04-07T08:21:00.000Z,1.445577743,1.453002807,1.434314812,1.441245123,206373.18,84512345.48
2023-04-06T00:00:00.000Z,2023-04-06T23:59:59.999Z,2023-04-06T09:16:00.000Z,2023-04-06T18:01:00.000Z,1.447623912,1.465527474,1.441436914,1.44562748,216677.54,84769320.01
2023-04-05T00:00:00.000Z,2023-04-05T23:59:59.999Z,2023-04-05T12:06:00.000Z,2023-04-05T03:16:00.000Z,1.438981527,1.463723751,1.431233774,1.447602899,336838.09,84885155.48
2023-04-04T00:00:00.000Z,2023-04-04T23:59:59.999Z,2023-04-04T00:50:00.000Z,2023-04-04T09:36:00.000Z,1.436377295,1.44240799,1.410354151,1.439206547,343768.71,84392806.63
2023-04-03T00:00:00.000Z,2023-04-03T23:59:59.999Z,2023-04-03T19:53:00.000Z,2023-04-03T08:14:00.000Z,1.448779405,1.452398031,1.400252389,1.436665469,419794.66,84243801.77
2023-04-02T00:00:00.000Z,2023-04-02T23:59:59.999Z,2023-04-02T00:45:00.000Z,2023-04-02T20:08:00.000Z,1.476733828,1.480434124,1.434745822,1.449270749,328610.87,84982955.56
2023-04-01T00:00:00.000Z,2023-04-01T23:59:59.999Z,2023-04-01T02:25:00.000Z,2023-04-02T02:29:00.000Z,1.508718413,1.51967431,1.455847949,1.458118024,271168.96,85501745.83
2023-03-31T00:00:00.000Z,2023-03-31T23:59:59.999Z,2023-03-31T23:52:00.000Z,2023-03-31T07:49:00.000Z,1.493890097,1.509671861,1.464005737,1.508797819,289388.7,88473529.24
2023-03-30T00:00:00.000Z,2023-03-30T23:59:59.999Z,2023-03-30T02:48:00.000Z,2023-03-30T14:16:00.000Z,1.497954393,1.520238008,1.474459088,1.494022079,350372.83,87607103.13
2023-03-29T00:00:00.000Z,2023-03-29T23:59:59.999Z,2023-03-29T08:29:00.000Z,2023-03-29T16:34:00.000Z,1.485163494,1.536308174,1.472588374,1.498139467,489839.54,87848540.28
2023-03-28T00:00:00.000Z,2023-03-28T23:59:59.999Z,2023-03-28T19:59:00.000Z,2023-03-28T14:11:00.000Z,1.476068966,1.491778628,1.442902004,1.485307835,310661.27,87096113.58
2023-03-27T00:00:00.000Z,2023-03-27T23:59:59.999Z,2023-03-27T01:04:00.000Z,2023-03-27T23:19:00.000Z,1.531292557,1.532649302,1.474675204,1.475810061,245876.59,86539179.06
2023-03-26T00:00:00.000Z,2023-03-26T23:59:59.999Z,2023-03-26T14:10:00.000Z,2023-03-26T00:00:00.000Z,1.515477421,1.546155466,1.515477421,1.531307295,214952.89,89793449.48
2023-03-25T00:00:00.000Z,2023-03-25T23:59:59.999Z,2023-03-25T16:33:00.000Z,2023-03-25T19:59:00.000Z,1.518384079,1.525470446,1.511552712,1.515446014,192200.6,88863368.96
2023-03-24T00:00:00.000Z,2023-03-24T23:59:59.999Z,2023-03-24T05:30:00.000Z,2023-03-24T21:37:00.000Z,1.575640291,1.601008563,1.507499901,1.518213706,350610.02,89025662.04
2023-03-23T00:00:00.000Z,2023-03-23T23:59:59.999Z,2023-03-23T23:50:00.000Z,2023-03-23T02:01:00.000Z,1.497583988,1.577781968,1.494905366,1.576000544,468640.15,92414191.27
2023-03-22T00:00:00.000Z,2023-03-22T23:59:59.999Z,2023-03-22T05:40:00.000Z,2023-03-22T20:06:00.000Z,1.551042651,1.572159579,1.485822503,1.497632828,481520.25,87818831.73
2023-03-21T00:00:00.000Z,2023-03-21T23:59:59.999Z,2023-03-21T23:57:00.000Z,2023-03-21T08:26:00.000Z,1.490424083,1.551986503,1.48578073,1.551248518,379892.02,90962771.42
2023-03-20T00:00:00.000Z,2023-03-20T23:59:59.999Z,2023-03-20T09:06:00.000Z,2023-03-20T23:43:00.000Z,1.519384321,1.522333592,1.485752585,1.489708337,351263.99,87354152.11
2023-03-19T00:00:00.000Z,2023-03-19T23:59:59.999Z,2023-03-19T19:44:00.000Z,2023-03-19T10:23:00.000Z,1.521699978,1.538600981,1.490957015,1.520013367,270330.74,89131191.35
2023-03-18T00:00:00.000Z,2023-03-18T23:59:59.999Z,2023-03-18T08:40:00.000Z,2023-03-18T00:03:00.000Z,1.488233035,1.552883172,1.487654051,1.521274086,374975.51,89205117.91
2023-03-17T00:00:00.000Z,2023-03-17T23:59:59.999Z,2023-03-17T11:08:00.000Z,2023-03-17T22:59:00.000Z,1.512232915,1.562078808,1.474799612,1.487762265,494949.22,87240037.48
2023-03-16T00:00:00.000Z,2023-03-16T23:59:59.999Z,2023-03-16T08:28:00.000Z,2023-03-16T00:35:00.000Z,1.43409796,1.52997804,1.426790527,1.512389084,1500414.65,88684115.37
2023-03-15T00:00:00.000Z,2023-03-15T23:59:59.999Z,2023-03-15T01:26:00.000Z,2023-03-15T17:04:00.000Z,1.463354598,1.490790113,1.410984547,1.432367302,9134913.32,83991764.06
2023-03-14T00:00:00.000Z,2023-03-14T23:59:59.999Z,2023-03-14T14:44:00.000Z,2023-03-14T23:16:00.000Z,1.507285277,1.556879984,1.461469951,1.463604113,8922451.85,85823441.47
2023-03-13T00:00:00.000Z,2023-03-13T23:59:59.999Z,2023-03-13T19:07:00.000Z,2023-03-13T12:40:00.000Z,1.444012337,1.531325132,1.408282177,1.507011934,9772276.92,88368807.78
2023-03-12T00:00:00.000Z,2023-03-12T23:59:59.999Z,2023-03-12T22:30:00.000Z,2023-03-12T13:59:00.000Z,1.40781541,1.457139379,1.364464074,1.443827867,9602740.68,84663793.52
2023-03-11T00:00:00.000Z,2023-03-11T23:59:59.999Z,2023-03-11T03:01:00.000Z,2023-03-11T08:12:00.000Z,1.401514667,1.428658174,1.377337133,1.412151323,9191088.44,82806330.86
2023-03-10T00:00:00.000Z,2023-03-10T23:59:59.999Z,2023-03-10T00:01:00.000Z,2023-03-10T11:51:00.000Z,1.408377311,1.408707216,1.347533054,1.401157214,9004959.71,82161653.6
2023-03-09T00:00:00.000Z,2023-03-09T23:59:59.999Z,2023-03-09T04:49:00.000Z,2023-03-09T21:48:00.000Z,1.45780574,1.48630083,1.388535773,1.40732811,7701672.54,82523505.26
2023-03-08T00:00:00.000Z,2023-03-08T23:59:59.999Z,2023-03-08T02:39:00.000Z,2023-03-08T22:21:00.000Z,1.490133736,1.503339088,1.44918849,1.457745306,856451.54,85479890.23
2023-03-07T00:00:00.000Z,2023-03-07T23:59:59.999Z,2023-03-07T21:13:00.000Z,2023-03-07T15:52:00.000Z,1.488015222,1.502692819,1.466291915,1.49209834,949333.32,87494298.09
2023-03-06T00:00:00.000Z,2023-03-06T23:59:59.999Z,2023-03-06T00:03:00.000Z,2023-03-06T12:24:00.000Z,1.52397691,1.524404653,1.469191863,1.487821872,867619.38,87243532.74
2023-03-05T00:00:00.000Z,2023-03-05T23:59:59.999Z,2023-03-05T22:12:00.000Z,2023-03-05T00:00:00.000Z,1.499227836,1.555649235,1.499227836,1.524630566,820142.93,89401936.64
2023-03-04T00:00:00.000Z,2023-03-04T23:59:59.999Z,2023-03-04T09:42:00.000Z,2023-03-04T22:20:00.000Z,1.509202532,1.528186114,1.49429211,1.499183684,782769.3,87909771.55
2023-03-03T00:00:00.000Z,2023-03-03T23:59:59.999Z,2023-03-03T00:06:00.000Z,2023-03-03T09:20:00.000Z,1.543759048,1.544711547,1.490152773,1.509642755,877405.56,88523075
2023-03-02T00:00:00.000Z,2023-03-02T23:59:59.999Z,2023-03-02T07:43:00.000Z,2023-03-02T12:54:00.000Z,1.5490303,1.563021771,1.522545756,1.543863254,852295.92,90529711.17
2023-03-01T00:00:00.000Z,2023-03-01T23:59:59.999Z,2023-03-01T00:07:00.000Z,2023-03-01T20:33:00.000Z,1.630433875,1.631071513,1.524136327,1.548125677,1198261.7,90779652.94
2023-02-28T00:00:00.000Z,2023-02-28T23:59:59.999Z,2023-02-28T00:25:00.000Z,2023-02-28T10:24:00.000Z,1.663446369,1.665283425,1.610004509,1.630580472,917615.99,95614672.35
2023-02-27T00:00:00.000Z,2023-02-27T23:59:59.999Z,2023-02-27T00:16:00.000Z,2023-02-27T19:09:00.000Z,1.707508303,1.710359357,1.645763001,1.663424966,816549.23,97540621.79
2023-02-26T00:00:00.000Z,2023-02-26T23:59:59.999Z,2023-02-26T18:55:00.000Z,2023-02-26T00:01:00.000Z,1.646852401,1.71948554,1.646654836,1.708036899,860385.7,100156595.3
2023-02-25T00:00:00.000Z,2023-02-25T23:59:59.999Z,2023-02-25T00:30:00.000Z,2023-02-25T22:07:00.000Z,1.671535585,1.675076193,1.634392699,1.645941235,780829.62,96515403.32
2023-02-24T00:00:00.000Z,2023-02-24T23:59:59.999Z,2023-02-24T01:20:00.000Z,2023-02-24T19:37:00.000Z,1.746439379,1.749040512,1.661710736,1.671953222,904612.53,98040705.3
2023-02-23T00:00:00.000Z,2023-02-23T23:59:59.999Z,2023-02-23T20:16:00.000Z,2023-02-23T17:01:00.000Z,1.736191281,1.782490291,1.726145532,1.746403139,900021.13,102406331.2
2023-02-22T00:00:00.000Z,2023-02-22T23:59:59.999Z,2023-02-22T00:08:00.000Z,2023-02-22T16:22:00.000Z,1.771428719,1.774152229,1.716416786,1.736158847,825348.93,101805622.1
2023-02-21T00:00:00.000Z,2023-02-21T23:59:59.999Z,2023-02-21T07:01:00.000Z,2023-02-21T21:29:00.000Z,1.808197453,1.848734797,1.754691845,1.771521008,915940.26,103879203.6
2023-02-20T00:00:00.000Z,2023-02-20T23:59:59.999Z,2023-02-20T05:07:00.000Z,2023-02-20T01:17:00.000Z,1.734570946,1.846266439,1.733329025,1.80832834,1179905.65,106037527.6
2023-02-19T00:00:00.000Z,2023-02-19T23:59:59.999Z,2023-02-19T16:16:00.000Z,2023-02-19T00:20:00.000Z,1.707614363,1.766006064,1.705857859,1.733339778,359924.78,101640316.3
2023-02-18T00:00:00.000Z,2023-02-18T23:59:59.999Z,2023-02-18T23:43:00.000Z,2023-02-18T00:46:00.000Z,1.700376041,1.709376045,1.693413184,1.707748144,255990.98,100139663.2
2023-02-17T00:00:00.000Z,2023-02-17T23:59:59.999Z,2023-02-17T20:10:00.000Z,2023-02-17T00:04:00.000Z,1.675965648,1.708168604,1.6747633,1.700901718,644016.45,99738199.54
2023-02-16T00:00:00.000Z,2023-02-16T23:59:59.999Z,2023-02-16T16:53:00.000Z,2023-02-16T23:55:00.000Z,1.762504197,1.798103926,1.675306658,1.676199013,1155923.33,98289671.79
2023-02-15T00:00:00.000Z,2023-02-15T23:59:59.999Z,2023-02-15T21:46:00.000Z,2023-02-15T04:09:00.000Z,1.664220439,1.76939341,1.657065793,1.762566611,1000957.22,103354131.8
